"x","y","z"
2,70,500
3,70,500
4,70,500
5,70,500
6,70,500
7,70,500
8,70,500
9,70,500
0,80,500
1,80,500
2,80,500
3,80,500
4,80,500
5,80,500
6,80,500
7,80,500
8,80,500
9,80,500
0,90,500
1,90,500
2,90,500
3,90,500
4,90,500
5,90,500
6,90,500
7,90,500
8,90,500
9,90,500
0,0,600
1,0,600
2,0,600
3,0,600
4,0,600
5,0,600
6,0,600
7,0,600
8,0,600
9,0,600
0,10,600
1,10,600
2,10,600
3,10,600
4,10,600
5,10,600
6,10,600
7,10,600
8,10,600
9,10,600
0,20,600
1,20,600
2,20,600
3,20,600
4,20,600
5,20,600
6,20,600
7,20,600
8,20,600
9,20,600
0,30,600
1,30,600
2,30,600
3,30,600
4,30,600
5,30,600
6,30,600
7,30,600
8,30,600
9,30,600
0,40,600
1,40,600
2,40,600
3,40,600
4,40,600
5,40,600
6,40,600
7,40,600
8,40,600
9,40,600
0,50,600
1,50,600
2,50,600
3,50,600
4,50,600
5,50,600
6,50,600
7,50,600
8,50,600
9,50,600
0,60,600
1,60,600
2,60,600
3,60,600
4,60,600
5,60,600
6,60,600
7,60,600
8,60,600
9,60,600
0,70,600
1,70,600
2,70,600
3,70,600
4,70,600
5,70,600
6,70,600
7,70,600
8,70,600
9,70,600
0,80,600
1,80,600
2,80,600
3,80,600
4,80,600
5,80,600
6,80,600
7,80,600
8,80,600
9,80,600
0,90,600
1,90,600
2,90,600
3,90,600
4,90,600
5,90,600
6,90,600
7,90,600
8,90,600
9,90,600
0,0,700
1,0,700
2,0,700
3,0,700
4,0,700
5,0,700
6,0,700
7,0,700
8,0,700
9,0,700
0,10,700
1,10,700
2,10,700
3,10,700
4,10,700
5,10,700
6,10,700
7,10,700
8,10,700
9,10,700
0,20,700
1,20,700
2,20,700
3,20,700
4,20,700
5,20,700
6,20,700
7,20,700
8,20,700
9,20,700
0,30,700
1,30,700
2,30,700
3,30,700
4,30,700
5,30,700
6,30,700
7,30,700
8,30,700
9,30,700
0,40,700
1,40,700
2,40,700
3,40,700
4,40,700
5,40,700
6,40,700
7,40,700
8,40,700
9,40,700
0,50,700
1,50,700
2,50,700
3,50,700
4,50,700
5,50,700
6,50,700
7,50,700
8,50,700
9,50,700
0,60,700
1,60,700
2,60,700
3,60,700
4,60,700
5,60,700
6,60,700
7,60,700
8,60,700
9,60,700
0,70,700
1,70,700
2,70,700
3,70,700
4,70,700
5,70,700
6,70,700
7,70,700
8,70,700
9,70,700
0,80,700
1,80,700
2,80,700
3,80,700
4,80,700
5,80,700
6,80,700
7,80,700
8,80,700
9,80,700
0,90,700
1,90,700
2,90,700
3,90,700
4,90,700
5,90,700
6,90,700
7,90,700
8,90,700
9,90,700
0,0,800
1,0,800
2,0,800
3,0,800
4,0,800
5,0,800
6,0,800
7,0,800
8,0,800
9,0,800
0,10,800
1,10,800
2,10,800
3,10,800
4,10,800
5,10,800
6,10,800
7,10,800
8,10,800
9,10,800
0,20,800
1,20,800
2,20,800
3,20,800
4,20,800
5,20,800
6,20,800
7,20,800
8,20,800
9,20,800
0,30,800
1,30,800
2,30,800
3,30,800
4,30,800
5,30,800
6,30,800
7,30,800
8,30,800
9,30,800
0,40,800
1,40,800
2,40,800
3,40,800
4,40,800
5,40,800
6,40,800
7,40,800
8,40,800
9,40,800
0,50,800
1,50,800
2,50,800
3,50,800
4,50,800
5,50,800
6,50,800
7,50,800
8,50,800
9,50,800
0,60,800
1,60,800
2,60,800
3,60,800
4,60,800
5,60,800
6,60,800
7,60,800
8,60,800
9,60,800
0,70,800
1,70,800
2,70,800
3,70,800
4,70,800
5,70,800
6,70,800
7,70,800
8,70,800
9,70,800
0,80,800
1,80,800
2,80,800
3,80,800
4,80,800
5,80,800
6,80,800
7,80,800
8,80,800
9,80,800
0,90,800
1,90,800
2,90,800
3,90,800
4,90,800
5,90,800
6,90,800
7,90,800
8,90,800
9,90,800
0,0,900
1,0,900
2,0,900
3,0,900
4,0,900
5,0,900
6,0,900
7,0,900
8,0,900
9,0,900
0,10,900
1,10,900
2,10,900
3,10,900
4,10,900
5,10,900
6,10,900
7,10,900
8,10,900
9,10,900
0,20,900
1,20,900
2,20,900
3,20,900
4,20,900
5,20,900
6,20,900
7,20,900
8,20,900
9,20,900
0,30,900
1,30,900
2,30,900
3,30,900
4,30,900
5,30,900
6,30,900
7,30,900
8,30,900
9,30,900
0,40,900
1,40,900
2,40,900
3,40,900
4,40,900
5,40,900
6,40,900
7,40,900
8,40,900
9,40,900
0,50,900
1,50,900
2,50,900
3,50,900
4,50,900
5,50,900
6,50,900
7,50,900
8,50,900
9,50,900
0,60,900
1,60,900
2,60,900
3,60,900
4,60,900
5,60,900
6,60,900
7,60,900
8,60,900
9,60,900
0,70,900
1,70,900
2,70,900
3,70,900
4,70,900
5,70,900
6,70,900
7,70,900
8,70,900
9,70,900
0,80,900
1,80,900
2,80,900
3,80,900
4,80,900
5,80,900
6,80,900
7,80,900
8,80,900
9,80,900
0,90,900
1,90,900
2,90,900
3,90,900
4,90,900
5,90,900
6,90,900
7,90,900
8,90,900
9,90,900
